Name,Postcode,URL,Longitude,Latitude
Birmingham Blood Donor Centre,B2 4DU,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/birmingham/,-1.901256,52.479612
Bradford Blood Donor Centre,BD1 4QU,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/bradford/,-1.754918,53.797295
Bristol Blood Donor Centre,BS10 5LX,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/bristol/,-2.593431,51.499021
Cambridge Blood Donor Centre,CB2 0PT,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/cambridge-donor-centre/,0.140925,52.177341
Gloucester Blood Donor Centre,GL1 3HF,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/gloucester/,-2.236569,51.868069
Lancaster Blood Donor Centre,LA1 4RP,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/lancaster/,-2.799232,54.042726
Leeds City Donor Centre,LS1 5JW,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/leeds-city-donor-centre/,-1.546026,53.799392
Leicester Blood Donor Centre,LE1 5FQ,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/leicester/,-1.137247,52.635008
Liverpool Blood Donor Centre,L2 2BS,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/liverpool/,-2.988655,53.408295
London Edgware Blood Donor Centre,HA8 0AD,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/london-edgware/,-0.271242,51.606493
London Tooting Blood Donor Centre,SW17 0RB,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/london-tooting-blood-donor-centre/,-0.175972,51.42754
London West End Blood Donor Centre,W1W 8NB,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/london-west-end/,-0.141755,51.51673
Luton Blood Donor Centre,LU1 2NF,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/luton/,-0.417187,51.88124
Manchester Plymouth Grove Blood Donor Centre,M13 9LL,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/manchester-plymouth-grove/,-2.224962,53.463852
Manchester City Centre Blood Donor Centre,M2 1DA,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/manchester-city-centre/,-2.241679,53.481905
Newcastle Blood Donor Centre,NE2 4NQ,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/newcastle/,-1.632117,54.980595
Nottingham Blood Donor Centre,NG1 4BR,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/nottingham/,-1.14887,52.956799
Oxford Blood Donor Centre,OX3 9BQ,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/oxford/,-1.219806,51.763871
Plymouth Blood Donor Centre,PL6 8DH,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/plymouth/,-4.113684,50.41672
Poole Blood Donor Centre,BH15 1SX,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/poole/,-1.98098,50.718985000000004
Sheffield Blood Donor Centre,S1 2GN,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/sheffield/,-1.4707,53.382607
Southampton Blood Donor Centre,SO16 5AF,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/southampton/,-1.437286,50.933785
Stoke Blood Donor Centre,ST1 4BT,https://www.blood.co.uk/the-donation-process/about-our-donation-venues/stoke/,-2.194355,53.021108
Edinburgh Blood Donor Centre,EH3 9HB,https://www.scotblood.co.uk/donation-locations/edinburgh-blood-donor-centre/,-3.1971,55.944596
Glasgow Blood Donor Centre,G2 1BT,https://www.scotblood.co.uk/donation-locations/glasgow-blood-donor-centre/,-4.254073,55.862399
Dundee Blood Donor Centre,DD2 1UB,https://www.scotblood.co.uk/donation-locations/dundee-blood-donor-centre/,-3.030987,56.463729
Aberdeen Blood Donor Centre,AB25 2ZW,https://www.scotblood.co.uk/donation-locations/aberdeen-blood-donor-centre/,-2.139009,57.153564
Inverness Blood Donor Centre,IV2 3UJ,https://www.scotblood.co.uk/donation-locations/inverness-blood-donor-centre/,-4.192472,57.473823
Northern Ireland Blood Transfusion Service Headquarters (City Hospital Complex),BT9 7TS,https://nibts.hscni.net/donating-blood/where-to-donate/,-5.943921,54.587216
Welsh Blood Service,CF72 9WB,https://www.welsh-blood.org.uk/contact-us/how-to-find-us/,-3.393968,51.544453
Welsh Blood Service - Wrexham,LL13 7YH,https://www.welsh-blood.org.uk,-3.012011,53.049826
